datetime,symbol,direction,ict_context,of_trigger,level_basis,entry,stop,target,risk_r,result_r,note
2026-07-30T22:01:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,64727.0,64660.0,64854.0,1.0,1.8955,"auto paper engine, exit=target"
2026-08-02T15:13:00+00:00,BTC.HL,short,CISD+OB,absorption,OB,63108.0,63182.0,63098.0,1.0,0.2095,"auto paper engine, exit=target"
2026-08-03T00:17:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,63418.0,63320.0,63480.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-03T03:27:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,63068.0,62960.0,63160.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-04T00:02:00+00:00,BTC.HL,short,CISD+OB,stop_run,OB,63511.0,63651.0,63367.0,1.0,1.0286,"auto paper engine, exit=target"
2026-08-04T00:29:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,63423.0,63120.0,63480.0,1.0,0.1881,"auto paper engine, exit=target"
2026-08-04T01:18:00+00:00,BTC.HL,short,CISD+OB,stop_run,OB,63479.0,63497.0,63429.0,1.0,-1.0556,"auto paper engine, exit=stop"
2026-08-04T03:03:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,63763.0,63657.0,63784.0,1.0,0.1981,"auto paper engine, exit=target"
2026-08-04T19:34:00+00:00,BTC.HL,short,CISD+OB,absorption,OB,64260.0,64327.0,63866.0,1.0,-1.0149,"auto paper engine, exit=stop"
2026-08-05T03:42:00+00:00,BTC.HL,short,CISD+iFVG,absorption,iFVG,64114.0,64151.0,64107.0,1.0,0.2432,"auto paper engine, exit=target"
2026-08-05T05:49:00+00:00,BTC.HL,short,CISD+OB,absorption,OB,64300.0,64459.0,64107.0,1.0,1.2138,"auto paper engine, exit=target"
2026-08-05T12:01:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,64033.0,63853.0,64044.0,1.0,0.0611,"auto paper engine, exit=target"
2026-08-05T12:02:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,64050.0,63971.0,64076.0,1.0,0.3291,"auto paper engine, exit=target"
2026-08-05T12:05:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,64042.0,64014.0,64044.0,1.0,0.0714,"auto paper engine, exit=target"
2026-08-05T14:34:00+00:00,BTC.HL,long,CISD+iFVG,stop_run,iFVG,64318.0,64306.0,64344.0,1.0,2.1667,"auto paper engine, exit=target"
2026-08-06T00:51:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,64620.0,64569.0,64700.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-06T12:13:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,64467.0,64351.0,64469.0,1.0,0.0172,"auto paper engine, exit=target"
2026-08-06T13:34:00+00:00,BTC.HL,long,CISD+iFVG,stop_run,iFVG,64213.0,64185.0,64220.0,1.0,0.25,"auto paper engine, exit=target"
2026-08-06T14:05:00+00:00,BTC.HL,long,CISD+iFVG,absorption,iFVG,64434.0,64408.0,64469.0,1.0,1.3846,"auto paper engine, exit=target"
2026-08-06T14:53:00+00:00,BTC.HL,short,CISD+OB,absorption,OB,64652.0,64666.0,64621.0,1.0,-1.1429,"auto paper engine, exit=stop"
2026-08-06T15:14:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,64812.0,64650.0,64938.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-06T18:12:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,64495.0,64387.0,64500.0,1.0,0.0463,"auto paper engine, exit=target"
2026-08-06T20:50:00+00:00,BTC.HL,long,CISD+iFVG,absorption,iFVG,64440.0,64420.0,64469.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-06T22:45:00+00:00,BTC.HL,long,CISD+iFVG,absorption,iFVG,64337.0,64268.0,64344.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-07T04:10:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,64298.0,64232.0,64344.0,1.0,-1.0303,"auto paper engine, exit=stop"
2026-08-07T17:33:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,64575.0,64551.0,64629.0,1.0,-1.0417,"auto paper engine, exit=stop"
2026-08-07T18:41:00+00:00,BTC.HL,long,CISD+iFVG,absorption,iFVG,64750.0,64703.0,64801.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-11T00:22:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,63938.0,63797.0,64005.0,1.0,0.4752,"auto paper engine, exit=target"
2026-08-11T01:09:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,63993.0,63933.0,64005.0,1.0,0.2167,"auto paper engine, exit=target"
2026-08-11T13:53:00+00:00,BTC.HL,long,CISD+OB,stop_run,OB,64112.0,64109.0,64164.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-11T17:03:00+00:00,BTC.HL,long,CISD+OB,absorption,OB,63489.0,63423.0,64005.0,1.0,-1.0,"auto paper engine, exit=stop"
2026-08-12T00:30:00+00:00,BTC.HL,short,CISD+iFVG,stop_run,iFVG,63668.0,63675.0,63586.0,1.0,-1.1429,"auto paper engine, exit=stop"
2026-08-12T05:20:00+00:00,BTC.HL,short,CISD+OB,absorption,OB,63784.0,63864.0,63783.0,1.0,0.0125,"auto paper engine, exit=target"
2026-08-12T05:21:00+00:00,BTC.HL,short,CISD+OB,absorption,OB,63796.0,63864.0,63783.0,1.0,0.1912,"auto paper engine, exit=target"
2026-08-12T08:25:00+00:00,BTC.HL,short,CISD+OB,absorption,OB,63799.0,63831.0,63797.0,1.0,0.1875,"auto paper engine, exit=target"
2026-08-12T08:37:00+00:00,BTC.HL,long,CISD+iFVG,absorption,iFVG,63765.0,63720.0,63779.0,1.0,0.3111,"auto paper engine, exit=target"
